pais_codigo,pais_nome,fase,recode,arquivo_origem,caminho_origem,linhas,colunas_selecionadas,colunas
KM,Comores,32,WI,KMWI32FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Comores\Riqueza_WI\KMWI32DT\KMWI32FL.DTA,2252,3,whhid|wlthindf|wlthind5
LB,Libéria,81,IR,LBIR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Libéria\Saude_da_Mulher_IR\LBIR81DT\LBIR81FL.DTA,4513,35,caseid|v001|v002|v003|v005|v006|v007|v008|v008a|v012|v013|v024|v025|v106|v190|v201|v212|m3a_1|m3b_1|m4_1|m5_1|m13_1|m14_1|m15_1|m17_1|m18_1|m19_1|m34_1|m35_1|m36_1|m38_1|m39_1|v445|v453|v457
LB,Libéria,81,HR,LBHR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Libéria\Domicilios_HR\LBHR81DT\LBHR81FL.DTA,4306,43,hhid|hv001|hv002|hv003|hv005|hv009|hv012|hv013|hv024|hv025|hv201|hv205|hv206|hv207|hv208|hv209|hv210|hv211|hv212|hv213|hv214|hv215|hv216|hv217|hv218|hv219|hv220|hv221|hv222|hv223|hv225|hv226|hv227|hv228|hv230a|hv232|hv234|hv235|hv236a|hv237|hv240|hv270|hv271
LB,Libéria,81,PR,LBPR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Libéria\Moradores_PR\LBPR81DT\LBPR81FL.DTA,21500,40,hhid|hvidx|hv001|hv002|hv003|hv004|hv005|hv009|hv012|hv013|hv024|hv025|hv101|hv102|hv103|hv104|hv105|hv106|hv107|hv108|hv109|hv110|hv111|hv112|hv113|hv114|hv115|hv116|hv117|hv118|hv120|hv121|hv122|hv123|hv124|hv125|hv126|hv127|hv128|hv129
LB,Libéria,81,KR,LBKR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Libéria\Criancas_KR\LBKR81DT\LBKR81FL.DTA,2864,43,caseid|bidx|v001|v002|v003|v005|bidxp|b0|b1|b2|b3|b4|b5|b6|b7|b8|b9|b10|b11|b12|m4|m5|m6|m7|m13|m14|m15|m17|m18|m19|m34|m35|m36|m38|m39a|h11|h13|h22|h31|h34|h39|h42|h43
LB,Libéria,51,CR,LBCR51FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Libéria\Casais_CR\LBCR51DT\LBCR51FL.DTA,2677,19,caseid|v001|v002|v003|v005|v012|v024|v025|mv001|mv002|mv003|mv005|mv012|mv024|mv025|v106|v190|mv106|mv190
LB,Libéria,51,MR,LBMR51FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Libéria\Homens_MR\LBMR51DT\LBMR51FL.DTA,6009,12,mcaseid|mv001|mv002|mv003|mv005|mv012|mv024|mv025|mv106|mv190|mv201|mv212
LS,Lesoto,81,IR,LSIR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Lesoto\Saude_da_Mulher_IR\LSIR81DT\LSIR81FL.DTA,6413,100,caseid|v001|v002|v003|v005|v006|v007|v008|v008a|v012|v013|v024|v025|v106|v190|v201|v212|v301|v302|v302a|v304_01|v304_02|v304_03|v304_04|v304_05|v304_06|v304_07|v304_08|v304_09|v304_10|v304_11|v304_12|v304_13|v304_14|v304_15|v304_16|v304_17|v304_18|v304_19|v304_20|v305_01|v305_02|v305_03|v305_04|v305_05|v305_06|v305_07|v305_08|v305_09|v305_10|v305_11|v305_12|v305_13|v305_14|v305_15|v305_16|v305_17|v305_18|v305_19|v305_20|v307_01|v307_02|v307_03|v307_04|v307_05|v307_06|v307_07|v307_08|v307_09|v307_10|v307_11|v307_12|v307_13|v307_14|v307_15|v307_16|v307_17|v307_18|v307_19|v307_20|v312|v313|m3a_1|m3b_1|m4_1|m5_1|m13_1|m14_1|m15_1|m17_1|m18_1|m19_1|m34_1|m35_1|m36_1|m38_1|m39_1|v445|v453|v457
LS,Lesoto,81,BR,LSBR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Lesoto\Nascimentos_BR\LSBR81DT\LSBR81FL.DTA,10445,45,caseid|bidx|v001|v002|v003|v005|bord|b0|b1|b2|b3|b4|b5|b6|b7|b8|b9|b10|b11|b12|b13|b15|b16|b17|b18|b19|b20|b21|m3a|m3b|m4|m5|m6|m7|m13|m14|m15|m17|m18|m19|m34|m35|m36|m38|m39a
LS,Lesoto,81,HR,LSHR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Lesoto\Domicilios_HR\LSHR81DT\LSHR81FL.DTA,9810,43,hhid|hv001|hv002|hv003|hv005|hv009|hv012|hv013|hv024|hv025|hv201|hv205|hv206|hv207|hv208|hv209|hv210|hv211|hv212|hv213|hv214|hv215|hv216|hv217|hv218|hv219|hv220|hv221|hv222|hv223|hv225|hv226|hv227|hv228|hv230a|hv232|hv234|hv235|hv236a|hv237|hv240|hv270|hv271
LS,Lesoto,81,PR,LSPR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Lesoto\Moradores_PR\LSPR81DT\LSPR81FL.DTA,37063,40,hhid|hvidx|hv001|hv002|hv003|hv004|hv005|hv009|hv012|hv013|hv024|hv025|hv101|hv102|hv103|hv104|hv105|hv106|hv107|hv108|hv109|hv110|hv111|hv112|hv113|hv114|hv115|hv116|hv117|hv118|hv120|hv121|hv122|hv123|hv124|hv125|hv126|hv127|hv128|hv129
LS,Lesoto,81,KR,LSKR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Lesoto\Criancas_KR\LSKR81DT\LSKR81FL.DTA,2537,54,caseid|bidx|v001|v002|v003|v005|bidxp|b0|b1|b2|b3|b4|b5|b6|b7|b8|b9|b10|b11|b12|m4|m5|m6|m7|m13|m14|m15|m17|m18|m19|m34|m35|m36|m38|m39a|h1|h2|h3|h4|h5|h6|h7|h8|h9|h10|h40|h11|h13|h22|h31|h34|h39|h42|h43
LS,Lesoto,41,HW,LSHW41FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Lesoto\Antropometria_HW\LSHW41DT\LSHW41FL.DTA,2140,7,hwhhid|hwline|hwlevel|hc70|hc71|hc72|hc73
LS,Lesoto,81,CR,LSCR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Lesoto\Casais_CR\LSCR81DT\LSCR81FL.DTA,766,19,caseid|v001|v002|v003|v005|v012|v024|v025|mv001|mv002|mv003|mv005|mv012|mv024|mv025|v106|v190|mv106|mv190
LS,Lesoto,81,MR,LSMR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Lesoto\Homens_MR\LSMR81DT\LSMR81FL.DTA,3215,12,mcaseid|mv001|mv002|mv003|mv005|mv012|mv024|mv025|mv106|mv190|mv201|mv212
MD,Madagascar,81,IR,MDIR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Madagascar\Saude_da_Mulher_IR\MDIR81DT\MDIR81FL.DTA,18869,100,caseid|v001|v002|v003|v005|v006|v007|v008|v008a|v012|v013|v024|v025|v106|v190|v201|v212|v301|v302|v302a|v304_01|v304_02|v304_03|v304_04|v304_05|v304_06|v304_07|v304_08|v304_09|v304_10|v304_11|v304_12|v304_13|v304_14|v304_15|v304_16|v304_17|v304_18|v304_19|v304_20|v305_01|v305_02|v305_03|v305_04|v305_05|v305_06|v305_07|v305_08|v305_09|v305_10|v305_11|v305_12|v305_13|v305_14|v305_15|v305_16|v305_17|v305_18|v305_19|v305_20|v307_01|v307_02|v307_03|v307_04|v307_05|v307_06|v307_07|v307_08|v307_09|v307_10|v307_11|v307_12|v307_13|v307_14|v307_15|v307_16|v307_17|v307_18|v307_19|v307_20|v312|v313|m3a_1|m3b_1|m4_1|m5_1|m13_1|m14_1|m15_1|m17_1|m18_1|m19_1|m34_1|m35_1|m36_1|m38_1|m39_1|v445|v453|v457
MD,Madagascar,81,BR,MDBR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Madagascar\Nascimentos_BR\MDBR81DT\MDBR81FL.DTA,47720,44,caseid|bidx|v001|v002|v003|v005|bord|b0|b1|b2|b3|b4|b5|b6|b7|b8|b9|b10|b11|b12|b13|b15|b16|b17|b18|b19|b20|m3a|m3b|m4|m5|m6|m7|m13|m14|m15|m17|m18|m19|m34|m35|m36|m38|m39a
MD,Madagascar,81,HR,MDHR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Madagascar\Domicilios_HR\MDHR81DT\MDHR81FL.DTA,20510,40,hhid|hv001|hv002|hv003|hv005|hv009|hv012|hv013|hv024|hv025|hv201|hv205|hv206|hv207|hv208|hv209|hv210|hv211|hv212|hv213|hv214|hv215|hv216|hv217|hv218|hv219|hv220|hv221|hv225|hv226|hv227|hv228|hv230a|hv232|hv234|hv235|hv237|hv240|hv270|hv271
MD,Madagascar,81,PR,MDPR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Madagascar\Moradores_PR\MDPR81DT\MDPR81FL.DTA,90322,40,hhid|hvidx|hv001|hv002|hv003|hv004|hv005|hv009|hv012|hv013|hv024|hv025|hv101|hv102|hv103|hv104|hv105|hv106|hv107|hv108|hv109|hv110|hv111|hv112|hv113|hv114|hv115|hv116|hv117|hv118|hv120|hv121|hv122|hv123|hv124|hv125|hv126|hv127|hv128|hv129
MD,Madagascar,81,KR,MDKR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Madagascar\Criancas_KR\MDKR81DT\MDKR81FL.DTA,12499,53,caseid|v001|v002|v003|v005|bidx|b0|b1|b2|b3|b4|b5|b6|b7|b8|b9|b10|b11|b12|m4|m5|m6|m7|m13|m14|m15|m17|m18|m19|m34|m35|m36|m38|m39a|h1|h2|h3|h4|h5|h6|h7|h8|h9|h10|h40|h11|h13|h22|h31|h34|h39|h42|h43
MD,Madagascar,41,HW,MDHW41FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Madagascar\Antropometria_HW\MDHW41DT\MDHW41FL.DTA,5742,7,hwhhid|hwline|hwlevel|hc70|hc71|hc72|hc73
MD,Madagascar,81,CR,MDCR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Madagascar\Casais_CR\MDCR81DT\MDCR81FL.DTA,4627,19,caseid|v001|v002|v003|v005|v012|v024|v025|mv001|mv002|mv003|mv005|mv012|mv024|mv025|v106|v190|mv106|mv190
MD,Madagascar,81,MR,MDMR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Madagascar\Homens_MR\MDMR81DT\MDMR81FL.DTA,9037,12,mcaseid|mv001|mv002|mv003|mv005|mv012|mv024|mv025|mv106|mv190|mv201|mv212
MD,Madagascar,21,SQ,MDSQ21FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Madagascar\Servicos_Saude_SQ\MDSQ21DT\MDSQ21FL.DTA,215,40,sclu|sregion|stype|sreg1|slocal|sfarit|sfivon|sfirai|sfokon|snhabs|sresmm|sresyy|snpers|stitre_1|ssexe_1|stitre_2|ssexe_2|stitre_3|ssexe_3|stitre_4|ssexe_4|stitre_5|ssexe_5|stitre_6|ssexe_6|stitre_7|ssexe_7|stitre_8|ssexe_8|sinidd|sinimm|senddd|sendmm|senque|s101|s102|s103|s104h|s104m|s105
MD,Madagascar,31,WI,MDWI31FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Madagascar\Riqueza_WI\MDWI31DT\MDWI31FL.DTA,7171,3,whhid|wlthindf|wlthind5
ML,Mali,83,IR,MLIR83FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Mali\Saude_da_Mulher_IR\MLIR83DT\MLIR83FL.DTA,10765,35,caseid|v001|v002|v003|v005|v006|v007|v008|v008a|v012|v013|v024|v025|v106|v190|v201|v212|m3a_1|m3b_1|m4_1|m5_1|m13_1|m14_1|m15_1|m17_1|m18_1|m19_1|m34_1|m35_1|m36_1|m38_1|m39_1|v445|v453|v457
ML,Mali,83,HR,MLHR83FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Mali\Domicilios_HR\MLHR83DT\MLHR83FL.DTA,5627,40,hhid|hv001|hv002|hv003|hv005|hv009|hv012|hv013|hv024|hv025|hv201|hv205|hv206|hv207|hv208|hv209|hv210|hv211|hv212|hv213|hv214|hv215|hv216|hv217|hv218|hv219|hv220|hv221|hv225|hv226|hv227|hv228|hv230a|hv232|hv234|hv235|hv237|hv240|hv270|hv271
