country,file,stem,recode,women_health_category,women_health_role,phase_version,variables,catalog_filename,survey_id,data_label
Tanzânia,tzir4afl.dta,TZIR4AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,4A,420,TZIR4ADT.zip,234,
Tanzânia,TZIR4IFL.DTA,TZIR4IFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,4I,4184,TZIR4IDT.zip,253,
Tanzânia,TZIR51FL.DTA,TZIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,3441,TZIR51DT.zip,304,
Tanzânia,TZIR63FL.DTA,TZIR63FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,63,4467,TZIR63DT.zip,345,
Tanzânia,TZIR6AFL.DTA,TZIR6AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,6A,1970,TZIR6ADT.zip,393,
Tanzânia,TZIR7BFL.DTA,TZIR7BFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,7B,5648,TZIR7BDT.zip,485,
Tanzânia,TZIR7IFL.DTA,TZIR7IFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,7I,1656,TZIR7IDT.zip,529,
Tanzânia,TZIR82FL.DTA,TZIR82FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,82,6379,TZIR82DT.zip,578,
Togo,TGIR01FL.DTA,TGIR01FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,01,1701,TGIR01DT.zip,22,
Togo,TGIR31FL.DTA,TGIR31FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,31,2845,TGIR31DT.zip,114,
Togo,TGIR61FL.DTA,TGIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4573,TGIR61DT.zip,328,
Togo,TGIR71FL.DTA,TGIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,1596,TGIR71DT.zip,497,
Zimbábue,ZWIR01FL.DTA,ZWIR01FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,01,1589,ZWIR01DT.zip,21,
Zimbábue,ZWIR31FL.DTA,ZWIR31FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,31,2770,ZWIR31DT.zip,64,
Zimbábue,ZWIR42FL.DTA,ZWIR42FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,42,3391,ZWIR42DT.zip,184,
Zimbábue,ZWIR52FL.DTA,ZWIR52FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,52,4435,ZWIR52DT.zip,260,
Zimbábue,ZWIR62FL.DTA,ZWIR62FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,62,4354,ZWIR62DT.zip,367,
Zimbábue,ZWIR72FL.DTA,ZWIR72FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,72,4944,ZWIR72DT.zip,475,
Zâmbia,ZMIR21FL.DTA,ZMIR21FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,21,2013,ZMIR21DT.zip,51,
Zâmbia,ZMIR31FL.DTA,ZMIR31FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,31,2827,ZMIR31DT.zip,90,
Zâmbia,ZMIR42FL.DTA,ZMIR42FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,42,3985,ZMIR42DT.zip,206,
Zâmbia,ZMIR51FL.DTA,ZMIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,4278,ZMIR51DT.zip,278,
Zâmbia,ZMIR61FL.DTA,ZMIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4268,ZMIR61DT.zip,406,
Zâmbia,ZMIR71FL.DTA,ZMIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,5036,ZMIR71DT.zip,542,
Zâmbia,ZMIR81FL.dta,ZMIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,6140,ZMIR81DT.zip,610,
África do Sul,ZAIR31FL.DTA,ZAIR31FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,31,3252,ZAIR31DT.zip,113,
África do Sul,ZAIR71FL.DTA,ZAIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,4694,ZAIR71DT.zip,390,
