country,file,stem,recode,women_health_category,women_health_role,phase_version,variables,catalog_filename,survey_id,data_label
Congo (República Democrática),CDIR81FL.dta,CDIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,5942,CDIR81DT.zip,597,
Costa do Marfim,CIIR35FL.DTA,CIIR35FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,35,2956,CIIR35DT.zip,62,
Costa do Marfim,CIIR3AFL.DTA,CIIR3AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,3A,2629,CIIR3ADT.zip,106,
Costa do Marfim,CIIR51FL.DTA,CIIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,1321,CIIR51DT.zip,231,
Costa do Marfim,CIIR62FL.DTA,CIIR62FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,62,4364,CIIR62DT.zip,311,
Costa do Marfim,CIIR81FL.DTA,CIIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,5417,CIIR81DT.zip,559,
Eswatini (Suazilândia),szir51fl.dta,SZIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,4217,SZIR51DT.zip,259,
Etiópia,ETIR41FL.DTA,ETIR41FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,41,3665,ETIR41DT.zip,147,
Etiópia,ETIR51FL.DTA,ETIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,4699,ETIR51DT.zip,248,
Etiópia,ETIR61FL.DTA,ETIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,3807,ETIR61DT.zip,359,
Etiópia,ETIR71FL.DTA,ETIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,5902,ETIR71DT.zip,478,
Etiópia,ETIR81FL.DTA,ETIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,4436,ETIR81DT.zip,551,
Etiópia,ETIR8AFL.dta,ETIR8AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,8A,6648,ETIR8ADT.zip,586,
Gabão,GAIR41FL.DTA,GAIR41FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,41,3361,GAIR41DT.zip,148,
Gabão,GAIR61FL.DTA,GAIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4581,GAIR61DT.zip,402,
Gabão,GAIR71FL.DTA,GAIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,5490,GAIR71DT.zip,546,
Gana,GHIR02FL.DTA,GHIR02FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,02,1567,GHIR02DT.zip,25,
Gana,GHIR31FL.DTA,GHIR31FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,31,2328,GHIR31DT.zip,58,
Gana,GHIR41FL.DTA,GHIR41FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,41,3401,GHIR41DT.zip,151,
Gana,GHIR4BFL.DTA,GHIR4BFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,4B,3619,GHIR4BDT.zip,235,
Gana,GHIR5AFL.DTA,GHIR5AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,5A,3915,GHIR5ADT.zip,301,
Gana,GHIR72FL.DTA,GHIR72FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,72,4079,GHIR72DT.zip,437,
Gana,GHIR7BFL.DTA,GHIR7BFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,7B,1506,GHIR7BDT.zip,516,
