variable,country_count,file_count,labels,themes
b12_01,37,198,Succeeding birth interval (months) | b12$02 | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_02,37,198,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_03,37,198,Succeeding birth interval (months) | b12$04 | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_04,37,198,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_05,37,198,Succeeding birth interval (months) | b12$06 | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_06,37,198,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_07,37,198,Succeeding birth interval (months) | b12$08 | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_08,37,198,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_09,37,198,Succeeding birth interval (months) | b12$10 | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_10,37,198,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_11,37,198,Succeeding birth interval (months) | b12$12 | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_12,37,198,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_13,37,198,Succeeding birth interval (months) | b12$14 | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_14,37,198,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_15,37,198,Succeeding birth interval (months) | b12$16 | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_16,37,197,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_17,37,197,Succeeding birth interval (months) | b12$18 | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_18,37,197,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_19,37,197,"Succeeding birth interval (months) | b12$20   ""succeeding birth interval"" | b12$20   'succeeding birth interval' | succeeding birth interval | succeeding birth interval (months)",historia_reprodutiva
b12_20,37,197,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b1_01,37,198,Month of birth | b1$02 | month of birth,historia_reprodutiva | outros
b1_02,37,198,Month of birth | month of birth,historia_reprodutiva | outros
b1_03,37,198,Month of birth | b1$04 | month of birth,historia_reprodutiva | outros
b1_04,37,198,Month of birth | month of birth,historia_reprodutiva | outros
b1_05,37,198,Month of birth | b1$06 | month of birth,historia_reprodutiva | outros
b1_06,37,198,Month of birth | month of birth,historia_reprodutiva | outros
b1_07,37,198,Month of birth | b1$08 | month of birth,historia_reprodutiva | outros
b1_08,37,198,Month of birth | month of birth,historia_reprodutiva | outros
b1_09,37,198,Month of birth | b1$10 | month of birth,historia_reprodutiva | outros
b1_10,37,198,Month of birth | month of birth,historia_reprodutiva | outros
b1_11,37,198,Month of birth | b1$12 | month of birth,historia_reprodutiva | outros
b1_12,37,198,Month of birth | month of birth,historia_reprodutiva | outros
b1_13,37,198,Month of birth | b1$14 | month of birth,historia_reprodutiva | outros
b1_14,37,198,Month of birth | month of birth,historia_reprodutiva | outros
b1_15,37,198,Month of birth | b1$16 | month of birth,historia_reprodutiva | outros
b1_16,37,197,Month of birth | month of birth,historia_reprodutiva | outros
b1_17,37,197,Month of birth | b1$18 | month of birth,historia_reprodutiva | outros
b1_18,37,197,Month of birth | month of birth,historia_reprodutiva | outros
b1_19,37,197,"Month of birth | b1$20    ""month of birth"" | b1$20    'month of birth' | month of birth",historia_reprodutiva
b1_20,37,197,Month of birth | month of birth,historia_reprodutiva | outros
b2_01,37,198,Year of birth | b2$02 | year of birth,historia_reprodutiva | outros
b2_02,37,198,Year of birth | year of birth,historia_reprodutiva | outros
b2_03,37,198,Year of birth | b2$04 | year of birth,historia_reprodutiva | outros
b2_04,37,198,Year of birth | year of birth,historia_reprodutiva | outros
b2_05,37,198,Year of birth | b2$06 | year of birth,historia_reprodutiva | outros
b2_06,37,198,Year of birth | year of birth,historia_reprodutiva | outros
b2_07,37,198,Year of birth | b2$08 | year of birth,historia_reprodutiva | outros
b2_08,37,198,Year of birth | year of birth,historia_reprodutiva | outros
b2_09,37,198,Year of birth | b2$10 | year of birth,historia_reprodutiva | outros
b2_10,37,198,Year of birth | year of birth,historia_reprodutiva | outros
b2_11,37,198,Year of birth | b2$12 | year of birth,historia_reprodutiva | outros
b2_12,37,198,Year of birth | year of birth,historia_reprodutiva | outros
b2_13,37,198,Year of birth | b2$14 | year of birth,historia_reprodutiva | outros
b2_14,37,198,Year of birth | year of birth,historia_reprodutiva | outros
