normalized_label,country_count,variable_count,countries,variables,examples
childhood place of residence,37,3,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,s102 | s104 | v103,NA - Childhood place of residence | [na] childhood place of residence | childhood place of residence | childhood place of residence - na | na - childhood place of residence | na-childhood place of residence
cluster number,37,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,smgrappe | v001,Cluster number | cluster number
completeness of information,37,52,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,b10_01 | b10_02 | b10_03 | b10_04 | b10_05 | b10_06 | b10_07 | b10_08 | b10_09 | b10_1 | b10_10 | b10_11 | b10_12 | b10_13 | b10_14 | b10_15 | b10_16 | b10_17 | b10_18 | b10_19 | b10_2 | b10_20 | b10_21 | b10_3 | p10_01 | p10_02 | p10_03 | p10_04 | p10_05 | p10_06 | p10_07 | p10_08 | p10_09 | p10_10 | p10_11 | p10_12 | p10_13 | p10_14 | p10_15 | p10_16 | p10_17 | p10_18 | p10_19 | p10_20 | p10_21 | sm102f | sm112f | v014 | v223 | v318 | v345 | v354,Completeness of information | completeness of information | completeness of information-na | na - completeness of information
current contraceptive method,37,5,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,s226b | s311 | s312 | smq208 | v312,current contraceptive method | na - current contraceptive method
current marital status,37,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,s502 | v501,Current marital status | current marital status | na - current marital status
current use by method type,37,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,shv313 | v313,current use by method type | na - current use by method type
currently abstaining,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v406,NA - Currently abstaining | currently abstaining | currently abstaining      - na | na - currently abstaining
currently amenorrheic,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v405,NA - Currently amenorrheic | currently amenorrheic | na - currently amenorrheic
currently breastfeeding,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v404,Currently breastfeeding | NA - Currently breastfeeding | currently breastfeeding | na - currently breastfeeding
currently pregnant,37,3,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,s223 | s226 | v213,Currently pregnant | currently pregnant
date of birth cmc,37,27,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,b3_01 | b3_02 | b3_03 | b3_04 | b3_05 | b3_06 | b3_07 | b3_08 | b3_09 | b3_1 | b3_10 | b3_11 | b3_12 | b3_13 | b3_14 | b3_15 | b3_16 | b3_17 | b3_18 | b3_19 | b3_2 | b3_20 | b3_21 | b3_3 | sm102c | smq102c | v011,Date of birth (CMC) | date of birth (cmc)
date of first birth cmc,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v211,NA - Date of first birth (CMC) | date of first birth (cmc) | date of first birth (cmc)  -na | na - date of first birth (cmc)
date of interview cmc,37,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,smintc | v008,Date of interview (CMC) | date of interview (cmc)
daughters at home,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v203,Daughters at home | daughters at home
daughters elsewhere,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v205,Daughters elsewhere | daughters elsewhere
daughters who have died,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v207,Daughters who have died | daughters who have died
de facto place of residence,37,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v026 | v134,NA - De facto place of residence | [na] de facto place of residence | de facto place of residence | de facto place of residence - na | de facto place of residence-na | na - de facto place of residence | na-de facto place of residence
desire for more children,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v605,desire for more children | na - desire for more children
duration of current pregnancy,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v214,Duration of current pregnancy | duration of current pregnancy | na - duration of current pregnancy
education in single years,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v133,Education in single years | education in single years
entries in birth history,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v224,Entries in birth history | entries in birth history | na - entries in birth history
entries in health table,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v418,Entries in health table | entries in health table | entries in health table    -na | na - entries in health table
entries in height weight table,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v419,Entries in height/weight table | entries in height/weight table | na - entries in height/weight table
entries in maternity table,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v417,Entries in maternity table | entries in maternity table | entries in maternity table -na | na - entries in maternity table
ethnicity,37,7,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,rc110 | s114 | s118 | s119 | s121 | sm109 | v131,NA - Ethnicity | [na] ethnicity | ethnicity | ethnicity                   na | ethnicity                  -na | ethnicity                 - na | ethnicity                 -na | na - ethnicity
ever use of any method,37,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,shv302 | v302,ever use of any method | ever use of any method - na | na - ever use of any method | na-ever use of any method
ever used method,37,61,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,s302_01 | s302_02 | s302_03 | s302_04 | s302_05 | s302_06 | s302_07 | s302_08 | s302_09 | s302_10 | s302_11 | s302_12 | s302_13 | sm203_01 | sm203_02 | sm203_03 | sm203_04 | sm203_05 | sm203_06 | sm203_07 | sm203_08 | sm203_09 | sm203_10 | sm203_11 | sm203_12 | sm203_13 | sm203_14 | sm203_15 | smq20c01 | smq20c02 | smq20c03 | smq20c04 | smq20c05 | smq20c06 | smq20c07 | smq20c08 | smq20c09 | smq20c10 | smq20c11 | smq20c12 | smq20c13 | v305_01 | v305_02 | v305_03 | v305_04 | v305_05 | v305_06 | v305_07 | v305_08 | v305_09 | v305_10 | v305_11 | v305_12 | v305_13 | v305_14 | v305_15 | v305_16 | v305_17 | v305_18 | v305_19 | v305_20,ever used method | ever used method           -na | ever used method -na | na - ever used method | na-ever used method
fertility preference,37,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,shv605 | v602,fertility preference | na - fertility preference
field editor,37,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,sfldedit | v031,NA - Field editor | field editor | field editor               -na | field editor              - na | field editor - na | na - field editor | na-field editor
gave child juice,37,7,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,m37c_1 | m37c_2 | m37c_3 | m37c_4 | m37c_5 | m37c_6 | v410,NA - Gave child juice | [na] gave child juice | gave child juice | gave child juice           -na | gave child juice          - na | gave child juice {na} | na - gave child juice | na-gave child juice
gave child other liquid,37,13,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,m37l_1 | m37l_2 | m37l_3 | m37l_4 | m37l_5 | m37l_6 | s769_1 | s769_2 | s769_3 | s769_4 | s769_5 | s769_6 | v413,NA - Gave child other liquid | gave child other liquid | gave child other liquid     na | gave child other liquid   - na | gave child other liquid {na} | na - gave child other liquid
gave child plain water,37,14,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,m37a_1 | m37a_2 | m37a_3 | m37a_4 | m37a_5 | m37a_6 | s492aa | s767_1 | s767_2 | s767_3 | s767_4 | s767_5 | s767_6 | v409,NA - Gave child plain water | gave child plain water | gave child plain water {na} | na - gave child plain water | na - na - gave child plain water
heard of oral rehydration,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v416,NA - Heard of oral rehydration | heard of oral rehydration | heard of oral rehydration  -na | heard of oral rehydration - na | na - heard of oral rehydration
highest educational level,37,12,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,s105 | s105a | s108 | s108a | s109 | s114 | s804 | s904 | seduc | shv106 | smq105 | v106,Highest educational level | highest educational level
