normalized_label,country_count,variable_count,countries,variables,examples
highest year of education,37,4,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,s109 | s705 | v107 | v702,Highest year of education | highest year of education | highest year of education - na | highest year of education - na! | na - highest year of education
household number,37,7,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,shnum | smenage | smmenage | snumber | snumero | sqnumber | v002,Household number | household number | household number            na
ideal number of children,37,8,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,s613 | s617 | sb612 | sh224 | sh227 | sm312 | smq312 | v613,ideal number of children | na - ideal number of children
index to birth history,37,166,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,bidx98_1 | bidx98_2 | bidx98_3 | bidx98_4 | bidx98_5 | bidx98_6 | bidx98_7 | bidx9_01 | bidx9_02 | bidx9_03 | bidx9_04 | bidx9_05 | bidx9_06 | bidx9_07 | bidx9_08 | bidx9_09 | bidx9_10 | bidx9_11 | bidx9_12 | bidx9_13 | bidx9_14 | cpidx_07 | cpidx_1 | cpidx_2 | cpidx_3 | cpidx_4 | cpidx_5 | cpidx_6 | cpidx_7 | hidx_1 | hidx_2 | hidx_3 | hidx_4 | hidx_5 | hidx_6 | hidxa_1 | hidxa_2 | hidxa_3 | hidxa_4 | hidxa_5 | hidxa_6 | hwidx_1 | hwidx_2 | hwidx_3 | hwidx_4 | hwidx_5 | hwidx_6 | idx92_01 | idx92_02 | idx92_03 | idx92_04 | idx92_05 | idx92_06 | idx92_07 | idx92_08 | idx92_09 | idx92_10 | idx92_11 | idx92_12 | idx92_13 | idx92_14 | idx92_15 | idx92_16 | idx92_17 | idx92_18 | idx92_19 | idx92_20 | idx94_1 | idx94_2 | idx94_3 | idx94_4 | idx94_5 | idx94_6 | idx95_1 | idx95_2 | idx95_3 | idx95_4 | idx95_5 | idx95_6 | idx96_1 | idx96_2 | idx96_3 | idx96_4 | idx96_5 | idx96_6 | idx97_1 | idx97_2 | idx97_3 | idx97_4 | idx97_5 | idx97_6 | idx97_7 | idx97_8 | idx97_9 | idx98_1 | idx98_2 | idx98_3 | idx98_4 | idx98_5 | idx98_6 | idx98_7 | idx98_8 | idx98_9 | idxcf_1 | idxcf_2 | idxcf_3 | idxcf_4 | idxecd_1 | idxecd_2 | idxecd_3 | idxecd_4 | idxml_1 | idxml_2 | idxml_3 | idxml_4 | idxml_5 | idxml_6 | idxscf | midx_1 | midx_2 | midx_3 | midx_4 | midx_5 | midx_6 | mnhwidx_1 | mnhwidx_2 | mnhwidx_3 | mnhwidx_4 | mnhwidx_5 | mnhwidx_6 | pidxb_01 | pidxb_02 | pidxb_03 | pidxb_04 | pidxb_05 | pidxb_06 | pidxb_07 | pidxb_08 | pidxb_09 | pidxb_10 | pidxb_11 | pidxb_12 | pidxb_13 | pidxb_14 | pidxb_15 | pidxb_16 | pidxb_17 | pidxb_18 | pidxb_19 | pidxb_20 | pidxb_21 | s707_1 | s707_2 | s707_3 | s707_4 | s707_5 | s707_6 | s707_7 | s707_8 | s707_9 | s730_1 | s730_2 | s730_3 | s730_4 | s730_5 | s730_6,Index to Birth History | Index to birth history | index to birth history | index to birth history     -na | index to birth history - na
intention to use,37,3,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,shv362 | smq209 | v362,intention to use | na - intention to use
interviewer identification,37,3,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,shv805 | v028 | v805,Interviewer identification | interviewer identification | interviewer identification -na | na - interviewer identification
keyer identification,37,4,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,shv806 | smkeyer | v029 | v806,Keyer identification | NA - Keyer identification | keyer identification | na - keyer identification | na-keyer identification
knowledge of any method,37,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,shv301 | v301,knowledge of any method | na - knowledge of any method
knowledge of ovulatory cycle,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v217,NA - Knowledge of ovulatory cycle | knowledge of ovulatory cycle | na - knowledge of ovulatory cycle
knows method,37,20,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v304_01 | v304_02 | v304_03 | v304_04 | v304_05 | v304_06 | v304_07 | v304_08 | v304_09 | v304_10 | v304_11 | v304_12 | v304_13 | v304_14 | v304_15 | v304_16 | v304_17 | v304_18 | v304_19 | v304_20,knows method | na - knows method
last source for current users,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v326,last source for current users | na - last source for current users
last source for users by type,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v327,last source for users by type | na - last source for users by type
length of interview in minutes,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v803,Length of interview in minutes | length of interview in minutes | na - length of interview in minutes
literacy,37,7,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,s105 | s110 | s111 | s114 | shv108 | v108 | v155,Literacy | NA - Literacy | literacy | literacy                   -na | na - literacy
living children at first use,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v310,living children at first use | na - living children at first use | na-living children at first use
main floor material,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v127,Main floor material | main floor material
main roof material,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v129,Main roof material | main roof material | main roof material          na | main roof material          na! | main roof material         -na | main roof material        - na | main roof material        - na! | main roof material        -na
main wall material,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v128,Main wall material | main wall material | main wall material          na | main wall material          na! | main wall material         -na | main wall material        - na | main wall material        - na! | main wall material        -na
measurer s code,37,3,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,mnv420 | s1111a | v420,"NA - Measurer's code | [na] measurer's code | measurer""s code | measurer's code | measurer's code             na | measurer's code            -na | measurer's code           - na | measurer's code           -na"
menstruated in last six weeks,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v216,NA - Menstruated in last six weeks | menstruated in last six weeks | na - menstruated in last six weeks
month of interview,37,4,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,shmonth | shv006 | smintm | v006,Month of interview | month of interview
number of living children,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v218,NA - Number of living children | Number of living children | na - number of living children | number of living children
number of other wives,37,3,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,s505 | s508 | v505,Number of other wives | na - number of other wives | number of other wives | number of other wives     - na
number of unions,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v503,Number of unions | na - number of unions | number of unions | number of unions - na
number of visits,37,5,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,shv804 | shvisits | smvisits | v027 | v804,Number of visits | na - number of visits | number of visits
parity at sterilization,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v322,na - parity at sterilization | parity at sterilization | parity at sterilization    -na
pattern of use,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v361,na - pattern of use | pattern of use
preferred future method,37,4,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,s327 | sm210 | smq210 | v363,na - preferred future method | na-preferred future method | preferred future method | preferred future method    -na | preferred future method   - na
region,37,7,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,sgreg | sreg | sregion | sregnew | sv101 | v024 | v101,Region | region
religion,37,8,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,s115 | s117 | s118 | s321g | s613b | sm108 | smq108 | v130,NA - Religion | Religion | na - religion | religion | religion                   -na | religion                  - na | religion                  -na | religion -na
respondent currently working,37,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,s707 | v714,Respondent currently working | na - na - respondent currently working | na - respondent currently working | respondent currently working
respondent s month of birth,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v009,Respondent's month of birth | respondent's month of birth
respondent s year of birth,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v010,Respondent's year of birth | respondent's year of birth
sons at home,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v202,Sons at home | sons at home
sons elsewhere,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v204,Sons elsewhere | sons elsewhere
sons who have died,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v206,Sons who have died | sons who have died
source of drinking water,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v113,Source of drinking water | source of drinking water
time to get to water source,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v115,Time to get to water source | na - time to get to water source | time to get to water source
total children ever born,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v201,Total children ever born | total children ever born
type of place of residence,37,6,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,srestype | stype | stype1 | sv102 | v025 | v102,Type of place of residence | type of place of residence
type of toilet facility,37,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,s19 | v116,Type of toilet facility | type of toilet facility
usual resident or visitor,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v135,Usual resident or visitor | usual resident or visitor
wanted last child,37,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v367,na - wanted last child | wanted last child
year of interview,37,6,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,sh103y | shv007 | shyear | sminta | sminty | v007,Year of interview | year of interview
