normalized_label,country_count,variable_count,countries,variables,examples
fever cough private doctor care practice,1,6,Guiné,h32l_1 | h32l_2 | h32l_3 | h32l_4 | h32l_5 | h32l_6,fever/cough: private doctor/care practice
fever cough private doctor clinic,1,6,Ruanda,h32l_1 | h32l_2 | h32l_3 | h32l_4 | h32l_5 | h32l_6,fever/cough: private doctor/clinic
fever cough private doctor medical practice,1,6,Congo (República Democrática),h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6,fever/cough: private doctor/medical practice
fever cough private field worker,2,6,Costa do Marfim | Libéria,h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6,fever/cough: private field worker
fever cough private fieldworker,3,18,Gana | Gâmbia | Serra Leoa,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6 | h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6 | h32q_1 | h32q_2 | h32q_3 | h32q_4 | h32q_5 | h32q_6,fever/cough: private fieldworker
fever cough private fieldworker chw,2,12,Gana | Nigéria,h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6 | h32p_1 | h32p_2 | h32p_3 | h32p_4 | h32p_5 | h32p_6,fever/cough: private fieldworker/chw
fever cough private fpg ppag clinic,1,6,Gana,h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6,fever/cough: private fpg/ppag clinic
fever cough private health care room,1,6,Mali,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6,fever/cough: private health care room
fever cough private health center,7,30,Angola | Burundi | Chade | Lesoto | Madagascar | Mali | Tanzânia,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6 | h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6 | h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6 | h32p_1 | h32p_2 | h32p_3 | h32p_4 | h32p_5 | h32p_6 | s471h_1 | s471h_2 | s471h_3 | s471h_4 | s471h_5 | s471h_6,fever/cough: private health center
fever cough private health center cs,1,6,Madagascar,h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,Fever/cough: Private health center (CS) | fever/cough: private health center (cs)
fever cough private health center post,1,6,Angola,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6,fever/cough: private health center/post
fever cough private health centre,3,18,Chade | Congo (República Democrática) | Tanzânia,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6 | h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6 | h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,Fever/cough: private health centre | fever/cough:  private health centre | fever/cough: private health centre
fever cough private health centre cs,1,6,Tanzânia,h32u_1 | h32u_2 | h32u_3 | h32u_4 | h32u_5 | h32u_6,fever/cough : private health centre (cs)
fever cough private health post,1,6,Angola,h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,fever/cough: private health post
fever cough private health worker,5,6,Burkina Faso | Burundi | Guiné | Mali | Senegal,h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6,fever/cough: private health worker
fever cough private hlth cent,1,6,Chade,h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,fever/cough: private hlth cent
fever cough private hosp,4,6,Burkina Faso | Ruanda | Senegal | Tanzânia,h32j_1 | h32j_2 | h32j_3 | h32j_4 | h32j_5 | h32j_6,fever/cough: private hosp - na
fever cough private hosp clin,31,6,Angola | Benin | Burkina Faso | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Etiópia | Gana | Guiné | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia,h32j_1 | h32j_2 | h32j_3 | h32j_4 | h32j_5 | h32j_6,fever/cough: private hosp/clin | fever/cough: private hosp/clin. | na - fever/cough: private hosp/clin
fever cough private hosp clinic doctor,1,6,Etiópia,h32j_1 | h32j_2 | h32j_3 | h32j_4 | h32j_5 | h32j_6,na - fever/cough: private hosp/clinic/doctor
fever cough private hosp clna,1,6,Nigéria,h32j_1 | h32j_2 | h32j_3 | h32j_4 | h32j_5 | h32j_6,fever/cough: private hosp/clna
fever cough private hospital,13,18,Angola | Chade | Etiópia | Gana | Lesoto | Libéria | Malaui | Namíbia | Nigéria | Níger | Quênia | Tanzânia | Zâmbia,h32j_1 | h32j_2 | h32j_3 | h32j_4 | h32j_5 | h32j_6 | s408j_1 | s408j_2 | s408j_3 | s408j_4 | s408j_5 | s408j_6 | s453g_1 | s453g_2 | s453g_3 | s453g_4 | s453g_5 | s453g_6,fever/cough: private hospital
fever cough private hospital center clinic,1,6,Libéria,h32j_1 | h32j_2 | h32j_3 | h32j_4 | h32j_5 | h32j_6,fever/cough: private hospital/center/clinic
fever cough private hospital clinic,31,18,Benin | Burkina Faso | Burundi | Camarões | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Nigéria | Níger | Quênia | Ruanda | Senegal | Serra Leoa | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,h32j_1 | h32j_2 | h32j_3 | h32j_4 | h32j_5 | h32j_6 | h32l_1 | h32l_2 | h32l_3 | h32l_4 | h32l_5 | h32l_6 | s471g_1 | s471g_2 | s471g_3 | s471g_4 | s471g_5 | s471g_6,Fever/cough: private hospital/ clinic | NA - Fever/cough: private hospital/ clinic | fever/cough: private hospital / clinic | fever/cough: private hospital/ clinic | fever/cough: private hospital/clinic | na - fever/cough: private hospital/ clinic | na - fever/cough: private hospital/clinic
fever cough private hospital clinic doctor,2,12,Angola | Etiópia,h32j_1 | h32j_2 | h32j_3 | h32j_4 | h32j_5 | h32j_6 | h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,"fever/cough: private hospital, clinic, doctor | fever/cough: private hospital/ clinic/doctor"
fever cough private hospital clinic pharmacy,1,6,Zimbábue,h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,fever/cough: private hospital/clinic/pharmacy
fever cough private hsa,1,12,Malaui,h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6 | h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,fever/cough: private hsa
fever cough private infirmary,2,12,Costa do Marfim | Gabão,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6 | h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,fever/cough: private infirmary
fever cough private infirmerary,1,6,Ruanda,h32p_1 | h32p_2 | h32p_3 | h32p_4 | h32p_5 | h32p_6,fever/cough: private infirmerary
fever cough private laic hospital clinic,1,6,Camarões,h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,fever/cough: private laic hospital/clinic
fever cough private lay hospital clinic,1,6,Camarões,h32j_1 | h32j_2 | h32j_3 | h32j_4 | h32j_5 | h32j_6,fever/cough: private lay hospital/ clinic
fever cough private lay ngo health center,1,6,Camarões,h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,fever/cough: private lay/ngo health center
fever cough private lay ngo hospital clinic,1,6,Camarões,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6,fever/cough: private lay/ngo hospital/clinic
fever cough private maternity,2,12,Congo (República Democrática) | Costa do Marfim,h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6 | h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,fever/cough: private maternity
fever cough private medical cabinet cmp,1,6,Burkina Faso,h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6,fever/cough: private medical cabinet (cmp)
fever cough private medical care office,1,6,Mali,h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6,fever/cough: private medical care office
fever cough private medical other,1,6,Congo (República Democrática),h32r_1 | h32r_2 | h32r_3 | h32r_4 | h32r_5 | h32r_6,fever/cough: private medical: other
fever cough private mission hospital clinic,1,6,Zâmbia,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6,fever/cough: private mission hospital/ clinic
fever cough private mission hosptial clinic,1,6,Zâmbia,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6,fever/cough: private mission hosptial/clinic
fever cough private mobi,10,6,Benin | Burkina Faso | Costa do Marfim | Namíbia | Níger | República Centro-Africana | Ruanda | Senegal | Tanzânia | Togo,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6,fever/cough: private mobi - na | fever/cough: private mobi - na!
fever cough private mobil,6,6,Costa do Marfim | Madagascar | Mali | Namíbia | Níger | Ruanda,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6,fever/cough: private mobil- na | fever/cough: private mobil-na | fever/cough:private mobil - na
fever cough private mobile,11,6,Camarões | Etiópia | Gabão | Guiné | Madagascar | Moçambique | Nigéria | Senegal | Zimbábue | Zâmbia | África do Sul,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6,fever/cough: private mobile na | fever/cough: private mobile na! | fever/cough: private mobile-na
fever cough private mobile cl,24,6,Angola | Benin | Burkina Faso | Chade | Comores | Congo (Brazzaville) | Etiópia | Gana | Guiné | Lesoto | Libéria | Madagascar | Malaui | Mali | Namíbia | Nigéria | Níger | Quênia | Ruanda | Senegal | Serra Leoa | São Tomé e Príncipe | Tanzânia | Zâmbia,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6,fever/cough: private mobile cl | fever/cough: private mobile cl - na | fever/cough: private mobile cl {na} | na - fever/cough: private mobile cl | na-fever/cough: private mobile cl
fever cough private mobile clinic,14,24,Burkina Faso | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Gana | Guiné | Libéria | Malaui | Mali | Nigéria | Quênia | Senegal | Serra Leoa | Zâmbia,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6 | h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6 | h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6 | h32p_1 | h32p_2 | h32p_3 | h32p_4 | h32p_5 | h32p_6,fever/cough: private mobile clinic
fever cough private mobile clinic hospital,1,6,Zâmbia,h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,fever/cough: private mobile clinic/hospital
fever cough private mobile hospital clinic,1,6,Zâmbia,h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6,fever/cough: private mobile hospital/clinic
fever cough private nursery cs,1,6,Ruanda,h32p_1 | h32p_2 | h32p_3 | h32p_4 | h32p_5 | h32p_6,fever/cough: private nursery - cs
fever cough private other hospital,1,6,Tanzânia,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6,fever/cough: private other hospital
fever cough private other private,1,6,Lesoto,h32s_1 | h32s_2 | h32s_3 | h32s_4 | h32s_5 | h32s_6,fever/cough: (private) other private
fever cough private outreach clinic,1,6,Zimbábue,h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6,fever/cough: private outreach clinic
fever cough private outreach worker,1,6,Serra Leoa,h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6,fever/cough: private outreach worker
fever cough private paramedical office,1,6,Senegal,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6,fever/cough: private paramedical office
fever cough private phar,2,6,Senegal | Tanzânia,h32k_1 | h32k_2 | h32k_3 | h32k_4 | h32k_5 | h32k_6,fever/cough: private phar - na
fever cough private pharm,1,6,Mali,h32k_1 | h32k_2 | h32k_3 | h32k_4 | h32k_5 | h32k_6,fever/cough: private pharm-na
fever cough private pharmacy,36,12,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,h32k_1 | h32k_2 | h32k_3 | h32k_4 | h32k_5 | h32k_6 | s471i_1 | s471i_2 | s471i_3 | s471i_4 | s471i_5 | s471i_6,Fever/cough: private pharmacy | fever/cough: private pharmacy | na - fever/cough: private pharmacy | na - na - fever/cough: private pharmacy | na-fever/cough: private pharmacy
fever cough private pharmacy medicine store,1,6,Libéria,h32k_1 | h32k_2 | h32k_3 | h32k_4 | h32k_5 | h32k_6,fever/cough: private pharmacy/medicine store
fever cough private polyclinic,1,6,Ruanda,h32j_1 | h32j_2 | h32j_3 | h32j_4 | h32j_5 | h32j_6,fever/cough: private polyclinic
fever cough private red cross health center,1,6,Lesoto,h32p_1 | h32p_2 | h32p_3 | h32p_4 | h32p_5 | h32p_6,fever/cough: (private) red cross health center
fever cough private specialised hospital,1,6,Tanzânia,h32j_1 | h32j_2 | h32j_3 | h32j_4 | h32j_5 | h32j_6,Fever/cough: private specialised hospital
fever cough private specialized hospital,1,12,Tanzânia,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6 | h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,fever/cough: private specialized hospital
fever cough private travelling nurse,1,6,Congo (República Democrática),h32q_1 | h32q_2 | h32q_3 | h32q_4 | h32q_5 | h32q_6,fever/cough: private travelling nurse
fever cough private village health worker,1,6,Lesoto,h32q_1 | h32q_2 | h32q_3 | h32q_4 | h32q_5 | h32q_6,fever/cough: (private) village health worker
fever cough propharmacy,1,6,Camarões,h32g_1 | h32g_2 | h32g_3 | h32g_4 | h32g_5 | h32g_6,fever/cough: propharmacy
fever cough prov dist hospital,1,6,Ruanda,h32b_1 | h32b_2 | h32b_3 | h32b_4 | h32b_5 | h32b_6,fever/cough: prov./dist. hospital
fever cough provincial district hospital,1,6,Ruanda,h32b_1 | h32b_2 | h32b_3 | h32b_4 | h32b_5 | h32b_6,fever/cough: provincial / district hospital | fever/cough: provincial/district hospital
fever cough provincial general hospital,1,6,Moçambique,h32b_1 | h32b_2 | h32b_3 | h32b_4 | h32b_5 | h32b_6,fever/cough: provincial/general hospital
fever cough provincial geral hospital,1,6,Moçambique,h32f_1 | h32f_2 | h32f_3 | h32f_4 | h32f_5 | h32f_6,"fever/cough: ""provincial/geral"" hospital"
fever cough provincial hosp,1,6,Zimbábue,h32f_1 | h32f_2 | h32f_3 | h32f_4 | h32f_5 | h32f_6,fever/cough: provincial hosp.
fever cough provincial hospital,3,12,Angola | Congo (República Democrática) | Zimbábue,h32b_1 | h32b_2 | h32b_3 | h32b_4 | h32b_5 | h32b_6 | h32f_1 | h32f_2 | h32f_3 | h32f_4 | h32f_5 | h32f_6,fever/cough: provincial hospital
fever cough provincial hospital cs,1,6,Zimbábue,h32f_1 | h32f_2 | h32f_3 | h32f_4 | h32f_5 | h32f_6,fever/cough: provincial hospital (cs)
fever cough psp,1,6,Burkina Faso,h32h_1 | h32h_2 | h32h_3 | h32h_4 | h32h_5 | h32h_6,fever/cough: psp
fever cough pub health sub cn,1,6,República Centro-Africana,h32f_1 | h32f_2 | h32f_3 | h32f_4 | h32f_5 | h32f_6,fever/cough: pub health sub-cn
fever cough publ health cntr,1,6,Camarões,h32b_1 | h32b_2 | h32b_3 | h32b_4 | h32b_5 | h32b_6,fever/cough: publ health cntr
fever cough public cbda door to door,1,6,Malaui,h32f_1 | h32f_2 | h32f_3 | h32f_4 | h32f_5 | h32f_6,fever/cough: public cbda/door to door
fever cough public chw,1,6,Tanzânia,h32h_1 | h32h_2 | h32h_3 | h32h_4 | h32h_5 | h32h_6,fever/cough: public chw
fever cough public chw outreach,1,6,Libéria,h32e_1 | h32e_2 | h32e_3 | h32e_4 | h32e_5 | h32e_6,fever/cough: public chw/outreach
fever cough public clinic,1,6,Tanzânia,h32g_1 | h32g_2 | h32g_3 | h32g_4 | h32g_5 | h32g_6,fever/cough: public clinic
fever cough public community based agent fieldworker,1,6,Zâmbia,h32d_1 | h32d_2 | h32d_3 | h32d_4 | h32d_5 | h32d_6,fever/cough: public community based agent/fieldworker
fever cough public community health worker fieldworker,1,6,Quênia,h32e_1 | h32e_2 | h32e_3 | h32e_4 | h32e_5 | h32e_6,fever/cough: public community health worker/fieldworker
fever cough public company,1,6,Angola,h32f_1 | h32f_2 | h32f_3 | h32f_4 | h32f_5 | h32f_6,fever/cough: public company
fever cough public dispensary,1,12,Tanzânia,h32e_1 | h32e_2 | h32e_3 | h32e_4 | h32e_5 | h32e_6 | h32f_1 | h32f_2 | h32f_3 | h32f_4 | h32f_5 | h32f_6,Fever/cough: public dispensary | fever/cough: public dispensary
fever cough public district hospital,1,12,Tanzânia,h32c_1 | h32c_2 | h32c_3 | h32c_4 | h32c_5 | h32c_6 | h32d_1 | h32d_2 | h32d_3 | h32d_4 | h32d_5 | h32d_6,Fever/cough: public district hospital | fever/cough: public district hospital
fever cough public fieldworker,3,6,Gâmbia | Libéria | Serra Leoa,h32e_1 | h32e_2 | h32e_3 | h32e_4 | h32e_5 | h32e_6,fever/cough: public fieldworker
fever cough public fieldworker chw,2,6,Gana | Nigéria,h32e_1 | h32e_2 | h32e_3 | h32e_4 | h32e_5 | h32e_6,fever/cough: public fieldworker/chw
fever cough public government health post,1,6,Lesoto,h32c_1 | h32c_2 | h32c_3 | h32c_4 | h32c_5 | h32c_6,fever/cough: (public) government health post
fever cough public health center,2,12,Burundi | Quênia,h32b_1 | h32b_2 | h32b_3 | h32b_4 | h32b_5 | h32b_6 | h32d_1 | h32d_2 | h32d_3 | h32d_4 | h32d_5 | h32d_6,fever/cough: public health center
fever cough public health center post,1,6,Angola,h32d_1 | h32d_2 | h32d_3 | h32d_4 | h32d_5 | h32d_6,fever/cough: public health center/post
fever cough public health centre,1,12,Tanzânia,h32d_1 | h32d_2 | h32d_3 | h32d_4 | h32d_5 | h32d_6 | h32e_1 | h32e_2 | h32e_3 | h32e_4 | h32e_5 | h32e_6,Fever/cough: public health centre | fever/cough: public health centre
fever cough public health worker,1,6,Senegal,h32e_1 | h32e_2 | h32e_3 | h32e_4 | h32e_5 | h32e_6,fever/cough: public health worker
fever cough public hospital,2,12,Camarões | Chade,h32a_1 | h32a_2 | h32a_3 | h32a_4 | h32a_5 | h32a_6 | s453a_1 | s453a_2 | s453a_3 | s453a_4 | s453a_5 | s453a_6,fever/cough: public hospital
fever cough public hospital communal medical center cmc,1,6,Guiné,h32a_1 | h32a_2 | h32a_3 | h32a_4 | h32a_5 | h32a_6,fever/cough: public hospital/communal medical center (cmc
fever cough public hsa,1,6,Malaui,h32e_1 | h32e_2 | h32e_3 | h32e_4 | h32e_5 | h32e_6,fever/cough: public hsa
fever cough public military see cs variables,1,6,Senegal,h32f_1 | h32f_2 | h32f_3 | h32f_4 | h32f_5 | h32f_6,fever/cough: public military (see cs variables)
fever cough public mobile clinic,6,12,Gana | Libéria | Malaui | Nigéria | Quênia | Serra Leoa,h32d_1 | h32d_2 | h32d_3 | h32d_4 | h32d_5 | h32d_6 | h32e_1 | h32e_2 | h32e_3 | h32e_4 | h32e_5 | h32e_6,fever/cough: public mobile clinic
fever cough public mobile clinic hospital health outreach post,1,6,Zâmbia,h32d_1 | h32d_2 | h32d_3 | h32d_4 | h32d_5 | h32d_6,fever/cough: public mobile clinic/hospital/health outreach post
fever cough public mobile hospital clinic,1,6,Zâmbia,h32c_1 | h32c_2 | h32c_3 | h32c_4 | h32c_5 | h32c_6,fever/cough: public mobile hospital/clinic
fever cough public national zonal specialised hospital,1,6,Tanzânia,h32a_1 | h32a_2 | h32a_3 | h32a_4 | h32a_5 | h32a_6,fever/cough: public national/zonal/specialised hospital
fever cough public outreach worker,1,6,Serra Leoa,h32e_1 | h32e_2 | h32e_3 | h32e_4 | h32e_5 | h32e_6,fever/cough: public outreach worker
fever cough public paramilitary see cs variables,1,6,Senegal,h32g_1 | h32g_2 | h32g_3 | h32g_4 | h32g_5 | h32g_6,fever/cough: public paramilitary (see cs variables)
fever cough public referral regional hospital,1,6,Tanzânia,h32b_1 | h32b_2 | h32b_3 | h32b_4 | h32b_5 | h32b_6,fever/cough: public referral regional hospital
fever cough public referral spec hospital,1,6,Tanzânia,h32a_1 | h32a_2 | h32a_3 | h32a_4 | h32a_5 | h32a_6,Fever/cough: public referral/spec. hospital
fever cough public regional hospital,1,12,Tanzânia,h32b_1 | h32b_2 | h32b_3 | h32b_4 | h32b_5 | h32b_6 | h32c_1 | h32c_2 | h32c_3 | h32c_4 | h32c_5 | h32c_6,Fever/cough: public regional hospital | fever/cough: public regional hospital
fever cough public regional referral hospital,1,6,Tanzânia,h32b_1 | h32b_2 | h32b_3 | h32b_4 | h32b_5 | h32b_6,fever/cough: public regional referral hospital
fever cough public sector other,1,6,Congo (República Democrática),h32h_1 | h32h_2 | h32h_3 | h32h_4 | h32h_5 | h32h_6,fever/cough: public sector: other
fever cough public village health post,1,6,Tanzânia,h32f_1 | h32f_2 | h32f_3 | h32f_4 | h32f_5 | h32f_6,Fever/cough: public village health post
fever cough public zonal referral specialized hospital,1,6,Tanzânia,h32a_1 | h32a_2 | h32a_3 | h32a_4 | h32a_5 | h32a_6,fever/cough: public zonal/referral/specialized hospital
fever cough pvt dispensary,1,6,Malaui,h32p_1 | h32p_2 | h32p_3 | h32p_4 | h32p_5 | h32p_6,fever/cough: pvt dispensary
fever cough pvt health center,1,6,Malaui,h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,fever/cough: pvt health center
fever cough rch outreach clinic,1,6,Gâmbia,h32d_1 | h32d_2 | h32d_3 | h32d_4 | h32d_5 | h32d_6,fever/cough: rch outreach clinic
fever cough red cross,1,6,Lesoto,h32nc_1 | h32nc_2 | h32nc_3 | h32nc_4 | h32nc_5 | h32nc_6,fever/cough: red cross
fever cough ref hospital,1,6,Ruanda,h32a_1 | h32a_2 | h32a_3 | h32a_4 | h32a_5 | h32a_6,fever/cough: ref. hospital
fever cough reference health center,1,6,Mali,h32c_1 | h32c_2 | h32c_3 | h32c_4 | h32c_5 | h32c_6,fever/cough: reference health center
fever cough reference health centre csref,1,6,Mali,h32c_1 | h32c_2 | h32c_3 | h32c_4 | h32c_5 | h32c_6,"fever/cough: reference health centre (""csref"")"
fever cough reference maternity,1,6,Níger,h32b_1 | h32b_2 | h32b_3 | h32b_4 | h32b_5 | h32b_6,fever/cough: reference maternity
fever cough referral hospital,1,6,Ruanda,h32a_1 | h32a_2 | h32a_3 | h32a_4 | h32a_5 | h32a_6,Fever/cough: referral hospital | fever/cough: referral hospital
fever cough regional hospital,3,12,Burundi | Mali | Tanzânia,h32b_1 | h32b_2 | h32b_3 | h32b_4 | h32b_5 | h32b_6 | h32c_1 | h32c_2 | h32c_3 | h32c_4 | h32c_5 | h32c_6,fever/cough: regional hospital
fever cough regional hospital center health center mother child,1,6,Níger,h32c_1 | h32c_2 | h32c_3 | h32c_4 | h32c_5 | h32c_6,fever/cough: regional hospital center/health center mother-child
fever cough regional hospital chr,2,6,Burkina Faso | Costa do Marfim,h32b_1 | h32b_2 | h32b_3 | h32b_4 | h32b_5 | h32b_6,fever/cough: regional hospital (chr) | fever/cough: regional hospital/chr
fever cough regional referral hospital,1,6,Tanzânia,h32b_1 | h32b_2 | h32b_3 | h32b_4 | h32b_5 | h32b_6,fever/cough: regional referral hospital
fever cough registered health center,1,6,Burundi,h32p_1 | h32p_2 | h32p_3 | h32p_4 | h32p_5 | h32p_6,fever/cough: registered health center
fever cough registered hospital,1,6,Burundi,h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,fever/cough: registered hospital
fever cough rel health post,1,6,Burkina Faso,h32p_1 | h32p_2 | h32p_3 | h32p_4 | h32p_5 | h32p_6,fever/cough: rel. health post
fever cough rel org hosp cl,1,6,Tanzânia,h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,fever/cough: rel. org. hosp/cl
fever cough rel vol clinic,1,6,Tanzânia,s407n_1 | s407n_2 | s407n_3 | s407n_4 | s407n_5 | s407n_6,fever/cough: rel.vol. clinic
fever cough relative friend,2,15,Quênia | Ruanda,h32u_1 | h32u_2 | h32u_3 | h32u_4 | h32u_5 | h32u_6 | h32w_1 | h32w_2 | h32w_3 | h32w_4 | h32w_5 | h32w_6 | s408t_1 | s408t_2 | s408t_3,fever/cough: relative/ friend | fever/cough: relative/friend
fever cough relatives,1,6,Senegal,h32u_1 | h32u_2 | h32u_3 | h32u_4 | h32u_5 | h32u_6,fever/cough: relatives | fever/cough: relatives - - na
fever cough relatives friends,1,6,Burkina Faso,h32u_1 | h32u_2 | h32u_3 | h32u_4 | h32u_5 | h32u_6,fever/cough: relatives / friends
fever cough relig hosp clinic,1,6,Tanzânia,h32p_1 | h32p_2 | h32p_3 | h32p_4 | h32p_5 | h32p_6,fever/cough: relig hosp/clinic
fever cough religious dispensary,3,24,Burkina Faso | Senegal | Tanzânia,h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6 | h32p_1 | h32p_2 | h32p_3 | h32p_4 | h32p_5 | h32p_6 | h32r_1 | h32r_2 | h32r_3 | h32r_4 | h32r_5 | h32r_6 | h32v_1 | h32v_2 | h32v_3 | h32v_4 | h32v_5 | h32v_6,Fever/cough: religious dispensary | fever/cough: religious dispensary
fever cough religious dispensary cs,1,6,Senegal,h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,fever/cough: religious dispensary (cs)
fever cough religious district hospital,1,12,Tanzânia,h32p_1 | h32p_2 | h32p_3 | h32p_4 | h32p_5 | h32p_6 | h32q_1 | h32q_2 | h32q_3 | h32q_4 | h32q_5 | h32q_6,Fever/cough: religious district hospital | fever/cough: religious district hospital
fever cough religious health centre,1,12,Tanzânia,h32q_1 | h32q_2 | h32q_3 | h32q_4 | h32q_5 | h32q_6 | h32u_1 | h32u_2 | h32u_3 | h32u_4 | h32u_5 | h32u_6,Fever/cough: religious health centre | fever/cough: religious health centre
fever cough religious health post,1,6,Senegal,h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,fever/cough: religious health post
fever cough religious hospital,3,24,Benin | Senegal | Tanzânia,h32m_1 | h32m_2 | h32m_3 | h32m_4 | h32m_5 | h32m_6 | h32n_1 | h32n_2 | h32n_3 | h32n_4 | h32n_5 | h32n_6 | h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6 | h32p_1 | h32p_2 | h32p_3 | h32p_4 | h32p_5 | h32p_6,fever/cough: religious hospital
fever cough religious institution friends parents itinerant medicine vendor str,1,6,Costa do Marfim,h32v_1 | h32v_2 | h32v_3 | h32v_4 | h32v_5 | h32v_6,fever/cough: religious institution/friends/parents/itinerant medicine vendor/str
fever cough religious referral spec hospital,1,6,Tanzânia,h32o_1 | h32o_2 | h32o_3 | h32o_4 | h32o_5 | h32o_6,Fever/cough: religious referral/spec. hospital
