normalized_label,country_count,variable_count,countries,variables,examples
births in last five years,38,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),v208,Births in last five years | births in last five years | na - births in last five years
births in month of interview,38,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),v210,Births in month of interview | births in month of interview | na - births in month of interview
births in past year,38,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),v209,Births in past year | births in past year | na - births in past year
brand of pill used,38,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),v323,Brand of pill used | [na] brand of pill used | brand of pill used | brand of pill used         -na | brand of pill used        - na | brand of pill used -        na | brand of pill used - na | brand of pill used -na
case identification,38,5,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),caseid | hhid | hwcaseid | hwhhid | mcaseid,Case Identification | case identification
child is alive,38,46,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),b5 | b5_01 | b5_02 | b5_03 | b5_04 | b5_05 | b5_06 | b5_07 | b5_08 | b5_09 | b5_1 | b5_10 | b5_11 | b5_12 | b5_13 | b5_14 | b5_15 | b5_16 | b5_17 | b5_18 | b5_19 | b5_2 | b5_20 | b5_21 | b5_3 | p5_01 | p5_02 | p5_03 | p5_04 | p5_05 | p5_06 | p5_07 | p5_08 | p5_09 | p5_10 | p5_11 | p5_12 | p5_13 | p5_14 | p5_15 | p5_16 | p5_17 | p5_18 | p5_19 | p5_20 | p5_21,Child is alive | child is alive
child is twin,38,25,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),b0 | b0_01 | b0_02 | b0_03 | b0_04 | b0_05 | b0_06 | b0_07 | b0_08 | b0_09 | b0_1 | b0_10 | b0_11 | b0_12 | b0_13 | b0_14 | b0_15 | b0_16 | b0_17 | b0_18 | b0_19 | b0_2 | b0_20 | b0_21 | b0_3,Child is twin | child is twin
childhood place of residence,38,8,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),mv103 | s102 | s104 | sm102 | sm104 | v103 | w102 | w104,Childhood place of residence | Childhood place of residence*** | NA - Childhood place of residence | NA - Childhood place of residence*** | NA-Childhood place of residence | NA-Childhood place of residence*** | [na] childhood place of residence | childhood place of residence
cluster number,38,26,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),aclust7 | aclust8 | acluster | aclustno | c7clus_1 | c7clus_2 | ccluster | chclust | cluster | dcclust | hclust | hcluster | hhclust | hv001 | mv001 | qcluster | qhclust | qvhclust | sclu | sh311 | sheacode | smgrappe | v001 | va001 | vaclust | vah001,Cluster number | cluster number | cluster number             -na
completeness of information,38,180,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),b10 | b10_01 | b10_02 | b10_03 | b10_04 | b10_05 | b10_06 | b10_07 | b10_08 | b10_09 | b10_1 | b10_10 | b10_11 | b10_12 | b10_13 | b10_14 | b10_15 | b10_16 | b10_17 | b10_18 | b10_19 | b10_2 | b10_20 | b10_21 | b10_3 | ha33 | ha33_01 | ha33_02 | ha33_03 | ha33_04 | ha33_05 | ha33_06 | ha33_07 | ha33_08 | ha33_09 | ha33_1 | ha33_10 | ha33_11 | ha33_12 | ha33_13 | ha33_14 | ha33_15 | ha33_16 | ha33_17 | ha33_18 | ha33_19 | ha33_2 | ha33_20 | ha33_21 | ha33_3 | ha33_4 | ha33_5 | ha33_6 | ha33_7 | ha33_8 | ha33_9 | hb33 | hb33_01 | hb33_02 | hb33_03 | hb33_04 | hb33_05 | hb33_06 | hb33_07 | hb33_08 | hb33_09 | hb33_1 | hb33_10 | hb33_11 | hb33_12 | hb33_13 | hb33_14 | hb33_15 | hb33_16 | hb33_17 | hb33_18 | hb33_19 | hb33_2 | hb33_20 | hb33_3 | hb33_4 | hb33_5 | hb33_6 | hb33_7 | hb33_8 | hc33 | hc33_01 | hc33_02 | hc33_03 | hc33_04 | hc33_05 | hc33_06 | hc33_07 | hc33_08 | hc33_09 | hc33_1 | hc33_10 | hc33_11 | hc33_12 | hc33_13 | hc33_14 | hc33_15 | hc33_16 | hc33_17 | hc33_2 | hc33_3 | hc33_4 | hc33_5 | hc33_6 | hc33_7 | hc33_8 | hc33_9 | he33 | he33_1 | he33_2 | he33_3 | he33_4 | hk33 | hk33_01 | hk33_02 | hk33_03 | hk33_04 | hk33_05 | hk33_06 | hk33_07 | hk33_08 | hk33_09 | hk33_10 | hy33 | hy33_1 | hy33_2 | hy33_3 | hy33_4 | hy33_5 | hy33_6 | hy33_7 | mv014 | p10_01 | p10_02 | p10_03 | p10_04 | p10_05 | p10_06 | p10_07 | p10_08 | p10_09 | p10_10 | p10_11 | p10_12 | p10_13 | p10_14 | p10_15 | p10_16 | p10_17 | p10_18 | p10_19 | p10_20 | p10_21 | shm33 | shm33_01 | shm33_02 | shm33_03 | shm33_04 | shm33_05 | shm33_06 | shm33_07 | shm33_08 | shm33_09 | shm33_10 | shm33_11 | shm33_12 | shm33_13 | sm102f | sm112f | sm221f | v014 | v223 | v318 | v345 | v354,Completeness of information | completeness of information | completeness of information - na | completeness of information-na | na - completeness of information
