country,file,stem,recode,women_health_category,women_health_role,phase_version,variables,catalog_filename,survey_id,data_label
Benin,BJMR71FL.DTA,BJMR71FL,MR,casal_parceiro,Informações masculinas relacionadas ao casal,71,621,BJMR71DT.zip,491,
Benin,BJPR31FL.DTA,BJPR31FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,31,101,BJPR31DT.zip,87,
Benin,BJPR41FL.DTA,BJPR41FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,41,177,BJPR41DT.zip,211,
Benin,BJPR51FL.DTA,BJPR51FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,51,456,BJPR51DT.zip,289,
Benin,BJPR61FL.DTA,BJPR61FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,61,328,BJPR61DT.zip,420,
Benin,BJPR71FL.DTA,BJPR71FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,71,380,BJPR71DT.zip,491,
Benin,BJBR31FL.dta,BJBR31FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",31,614,BJBR31DT.zip,87,
Benin,BJBR41FL.dta,BJBR41FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",41,926,BJBR41DT.zip,211,
Benin,BJBR51FL.DTA,BJBR51FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",51,1261,BJBR51DT.zip,289,
Benin,BJBR61FL.DTA,BJBR61FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",61,1106,BJBR61DT.zip,420,
Benin,BJBR71FL.DTA,BJBR71FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",71,1188,BJBR71DT.zip,491,
Benin,BJWI31FL.DTA,BJWI31FL,WI,socioeconomico,Índice de riqueza e contexto socioeconômico,31,3,BJWI31DT.zip,87,
Benin,BJWI41FL.DTA,BJWI41FL,WI,socioeconomico,Índice de riqueza e contexto socioeconômico,41,3,BJWI41DT.zip,211,
Benin,BJIR31FL.DTA,BJIR31FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,31,2773,BJIR31DT.zip,87,
Benin,BJIR41FL.DTA,BJIR41FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,41,3472,BJIR41DT.zip,211,
Benin,BJIR51FL.DTA,BJIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,4661,BJIR51DT.zip,289,
Benin,BJIR61FL.DTA,BJIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4077,BJIR61DT.zip,420,
Benin,BJIR71FL.DTA,BJIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,5109,BJIR71DT.zip,491,
Benin,BJSQ38FL.DTA,BJSQ38FL,SQ,servicos_saude,Disponibilidade e infraestrutura de serviços,38,232,BJSQ38DT.zip,87,
Benin,BJSQ41FL.DTA,BJSQ41FL,SQ,servicos_saude,Disponibilidade e infraestrutura de serviços,41,229,BJSQ41DT.zip,211,
Benin,BJSQ51FL.DTA,BJSQ51FL,SQ,servicos_saude,Disponibilidade e infraestrutura de serviços,51,473,BJSQ51DT.zip,289,
Burkina Faso,BFHW21FL.DTA,BFHW21FL,HW,antropometria,"Peso, altura, anemia e medidas corporais",21,7,BFHW21DT.zip,42,
Burkina Faso,BFHW31FL.DTA,BFHW31FL,HW,antropometria,"Peso, altura, anemia e medidas corporais",31,7,BFHW31DT.zip,116,
Burkina Faso,BFHW43FL.DTA,BFHW43FL,HW,antropometria,"Peso, altura, anemia e medidas corporais",43,7,BFHW43DT.zip,230,
Burkina Faso,BFCR21FL.DTA,BFCR21FL,CR,casal_parceiro,Informações conjugais e do parceiro,21,1093,BFCR21DT.zip,42,
Burkina Faso,BFCR31FL.DTA,BFCR31FL,CR,casal_parceiro,Informações conjugais e do parceiro,31,1650,BFCR31DT.zip,116,
Burkina Faso,BFCR41FL.DTA,BFCR41FL,CR,casal_parceiro,Informações conjugais e do parceiro,41,2179,BFCR41DT.zip,230,
Burkina Faso,BFCR62FL.DTA,BFCR62FL,CR,casal_parceiro,Informações conjugais e do parceiro,62,2439,BFCR62DT.zip,329,
Burkina Faso,BFCR81FL.DTA,BFCR81FL,CR,casal_parceiro,Informações conjugais e do parceiro,81,1657,BFCR81DT.zip,562,
Burkina Faso,BFKR21FL.DTA,BFKR21FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",21,634,BFKR21DT.zip,42,
Burkina Faso,BFKR31FL.DTA,BFKR31FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",31,696,BFKR31DT.zip,116,
Burkina Faso,BFKR43FL.dta,BFKR43FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",43,992,BFKR43DT.zip,230,
Burkina Faso,BFKR62FL.DTA,BFKR62FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",62,991,BFKR62DT.zip,329,
Burkina Faso,BFKR71FL.DTA,BFKR71FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",71,714,BFKR71DT.zip,481,
Burkina Faso,BFKR7AFL.DTA,BFKR7AFL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",7A,334,BFKR7ADT.zip,526,
Burkina Faso,BFKR81FL.DTA,BFKR81FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",81,1133,BFKR81DT.zip,562,
Burkina Faso,BFHR21FL.DTA,BFHR21FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",21,883,BFHR21DT.zip,42,
Burkina Faso,BFHR31FL.DTA,BFHR31FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",31,1216,BFHR31DT.zip,116,
Burkina Faso,BFHR43FL.dta,BFHR43FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",43,4066,BFHR43DT.zip,230,
Burkina Faso,BFHR62FL.DTA,BFHR62FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",62,5195,BFHR62DT.zip,329,
Burkina Faso,BFHR71FL.DTA,BFHR71FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",71,3603,BFHR71DT.zip,481,
Burkina Faso,BFHR7AFL.DTA,BFHR7AFL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",7A,1849,BFHR7ADT.zip,526,
Burkina Faso,BFHR81FL.DTA,BFHR81FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",81,4828,BFHR81DT.zip,562,
Burkina Faso,BFMR21FL.DTA,BFMR21FL,MR,casal_parceiro,Informações masculinas relacionadas ao casal,21,318,BFMR21DT.zip,42,
Burkina Faso,BFMR31FL.DTA,BFMR31FL,MR,casal_parceiro,Informações masculinas relacionadas ao casal,31,529,BFMR31DT.zip,116,
Burkina Faso,BFMR41FL.DTA,BFMR41FL,MR,casal_parceiro,Informações masculinas relacionadas ao casal,41,958,BFMR41DT.zip,230,
Burkina Faso,BFMR62FL.DTA,BFMR62FL,MR,casal_parceiro,Informações masculinas relacionadas ao casal,62,530,BFMR62DT.zip,329,
Burkina Faso,BFMR81FL.DTA,BFMR81FL,MR,casal_parceiro,Informações masculinas relacionadas ao casal,81,600,BFMR81DT.zip,562,
Burkina Faso,BFPR21FL.DTA,BFPR21FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,21,78,BFPR21DT.zip,42,
Burkina Faso,BFPR31FL.DTA,BFPR31FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,31,88,BFPR31DT.zip,116,
Burkina Faso,BFPR44FL.DTA,BFPR44FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,44,217,BFPR44DT.zip,230,
Burkina Faso,BFPR62FL.DTA,BFPR62FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,62,345,BFPR62DT.zip,329,
Burkina Faso,BFPR71FL.DTA,BFPR71FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,71,347,BFPR71DT.zip,481,
Burkina Faso,BFPR7AFL.DTA,BFPR7AFL,PR,moradores_contexto,Moradores do domicílio e composição familiar,7A,211,BFPR7ADT.zip,526,
Burkina Faso,BFPR81FL.DTA,BFPR81FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,81,447,BFPR81DT.zip,562,
