variable,country_count,file_count,labels,themes
b12_02,38,324,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_03,38,324,Succeeding birth interval (months) | b12$04 | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_04,38,324,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_05,38,324,"Succeeding birth interval (months) | b12$06 | b12$06   ""how far in km."" | succeeding birth interval | succeeding birth interval (months)",historia_reprodutiva | outros
b12_06,38,324,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_07,38,323,Succeeding birth interval (months) | b12$08 | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_08,38,323,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_09,38,323,Succeeding birth interval (months) | b12$10 | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_10,38,323,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_11,38,323,Succeeding birth interval (months) | b12$12 | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_12,38,323,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_13,38,323,Succeeding birth interval (months) | b12$14 | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_14,38,323,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_15,38,323,Succeeding birth interval (months) | b12$16 | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_16,38,321,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_17,38,321,Succeeding birth interval (months) | b12$18 | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_18,38,321,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b12_19,38,321,"Succeeding birth interval (months) | b12$20   ""succeeding birth interval"" | b12$20   'succeeding birth interval' | succeeding birth interval | succeeding birth interval (months)",historia_reprodutiva
b12_20,38,321,Succeeding birth interval (months) | succeeding birth interval | succeeding birth interval (months),historia_reprodutiva | outros
b1_01,38,323,Month of birth | b1$02 | month of birth,historia_reprodutiva | outros
b1_02,38,323,Month of birth | month of birth,historia_reprodutiva | outros
b1_03,38,323,Month of birth | b1$04 | month of birth,historia_reprodutiva | outros
b1_04,38,323,Month of birth | month of birth,historia_reprodutiva | outros
b1_05,38,323,Month of birth | b1$06 | month of birth,historia_reprodutiva | outros
b1_06,38,323,Month of birth | month of birth,historia_reprodutiva | outros
b1_07,38,323,Month of birth | b1$08 | month of birth,historia_reprodutiva | outros
b1_08,38,323,Month of birth | month of birth,historia_reprodutiva | outros
b1_09,38,323,Month of birth | b1$10 | month of birth,historia_reprodutiva | outros
b1_10,38,323,Month of birth | month of birth,historia_reprodutiva | outros
b1_11,38,323,Month of birth | b1$12 | month of birth,historia_reprodutiva | outros
b1_12,38,323,Month of birth | month of birth,historia_reprodutiva | outros
b1_13,38,323,Month of birth | b1$14 | month of birth,historia_reprodutiva | outros
b1_14,38,323,Month of birth | month of birth,historia_reprodutiva | outros
b1_15,38,323,Month of birth | b1$16 | month of birth,historia_reprodutiva | outros
b1_16,38,321,Month of birth | month of birth,historia_reprodutiva | outros
b1_17,38,321,Month of birth | b1$18 | month of birth,historia_reprodutiva | outros
b1_18,38,321,Month of birth | month of birth,historia_reprodutiva | outros
b1_19,38,321,"Month of birth | b1$20    ""month of birth"" | b1$20    'month of birth' | month of birth",historia_reprodutiva
b1_20,38,321,Month of birth | month of birth,historia_reprodutiva | outros
b2,38,367,Year of birth | year of birth,historia_reprodutiva
b2_01,38,323,Year of birth | b2$02 | year of birth,historia_reprodutiva | outros
b2_02,38,323,Year of birth | year of birth,historia_reprodutiva | outros
b2_03,38,323,Year of birth | b2$04 | year of birth,historia_reprodutiva | outros
b2_04,38,323,Year of birth | year of birth,historia_reprodutiva | outros
b2_05,38,323,Year of birth | b2$06 | year of birth,historia_reprodutiva | outros
b2_06,38,323,Year of birth | year of birth,historia_reprodutiva | outros
b2_07,38,323,Year of birth | b2$08 | year of birth,historia_reprodutiva | outros
b2_08,38,323,Year of birth | year of birth,historia_reprodutiva | outros
b2_09,38,323,Year of birth | b2$10 | year of birth,historia_reprodutiva | outros
b2_10,38,323,Year of birth | year of birth,historia_reprodutiva | outros
b2_11,38,323,Year of birth | b2$12 | year of birth,historia_reprodutiva | outros
b2_12,38,323,Year of birth | year of birth,historia_reprodutiva | outros
b2_13,38,323,Year of birth | b2$14 | year of birth,historia_reprodutiva | outros
b2_14,38,323,Year of birth | year of birth,historia_reprodutiva | outros
b2_15,38,323,Year of birth | b2$16 | year of birth,historia_reprodutiva | outros
b2_16,38,321,Year of birth | year of birth,historia_reprodutiva | outros
b2_17,38,321,Year of birth | b2$18 | year of birth,historia_reprodutiva | outros
b2_18,38,321,Year of birth | year of birth,historia_reprodutiva | outros
b2_19,38,321,"Year of birth | b2$20    ""year of birth"" | b2$20    'year of birth' | year of birth",historia_reprodutiva
b2_20,38,321,Year of birth | year of birth,historia_reprodutiva | outros
b3,38,367,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva
b3_01,38,323,Date of birth (CMC) | b3$02 | date of birth (cmc),historia_reprodutiva | outros
b3_02,38,323,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_03,38,323,Date of birth (CMC) | b3$04 | date of birth (cmc),historia_reprodutiva | outros
b3_04,38,323,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_05,38,323,Date of birth (CMC) | b3$06 | date of birth (cmc),historia_reprodutiva | outros
b3_06,38,323,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_07,38,323,Date of birth (CMC) | b3$08 | date of birth (cmc),historia_reprodutiva | outros
b3_08,38,323,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_09,38,323,Date of birth (CMC) | b3$10 | date of birth (cmc),historia_reprodutiva | outros
b3_10,38,323,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_11,38,323,Date of birth (CMC) | b3$12 | date of birth (cmc),historia_reprodutiva | outros
b3_12,38,323,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_13,38,323,Date of birth (CMC) | b3$14 | date of birth (cmc),historia_reprodutiva | outros
b3_14,38,323,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_15,38,323,Date of birth (CMC) | b3$16 | date of birth (cmc),historia_reprodutiva | outros
b3_16,38,321,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_17,38,321,Date of birth (CMC) | b3$18 | date of birth (cmc),historia_reprodutiva | outros
b3_18,38,321,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_19,38,321,"Date of birth (CMC) | b3$20    ""date of birth (cmc)"" | b3$20    'date of birth (cmc)' | date of birth (cmc)",historia_reprodutiva
b3_20,38,321,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b4,38,367,Sex of child | sex of child,historia_reprodutiva
b4_01,38,323,Sex of child | b4$02 | sex of child,historia_reprodutiva | outros
b4_02,38,323,Sex of child | sex of child,historia_reprodutiva | outros
b4_03,38,323,Sex of child | b4$04 | sex of child,historia_reprodutiva | outros
b4_04,38,323,Sex of child | sex of child,historia_reprodutiva | outros
b4_05,38,323,Sex of child | b4$06 | sex of child,historia_reprodutiva | outros
b4_06,38,323,Sex of child | sex of child,historia_reprodutiva | outros
b4_07,38,323,Sex of child | b4$08 | sex of child,historia_reprodutiva | outros
b4_08,38,323,Sex of child | sex of child,historia_reprodutiva | outros
b4_09,38,323,Sex of child | b4$10 | sex of child,historia_reprodutiva | outros
b4_10,38,323,Sex of child | sex of child,historia_reprodutiva | outros
b4_11,38,323,Sex of child | b4$12 | sex of child,historia_reprodutiva | outros
b4_12,38,323,Sex of child | sex of child,historia_reprodutiva | outros
b4_13,38,323,Sex of child | b4$14 | sex of child,historia_reprodutiva | outros
b4_14,38,323,Sex of child | sex of child,historia_reprodutiva | outros
b4_15,38,323,Sex of child | b4$16 | sex of child,historia_reprodutiva | outros
b4_16,38,321,Sex of child | sex of child,historia_reprodutiva | outros
b4_17,38,321,Sex of child | b4$18 | sex of child,historia_reprodutiva | outros
b4_18,38,321,Sex of child | sex of child,historia_reprodutiva | outros
b4_19,38,321,"Sex of child | b4$20    ""sex of child"" | b4$20    'sex of child' | sex of child",historia_reprodutiva
b4_20,38,321,Sex of child | sex of child,historia_reprodutiva | outros
b5,38,367,Child is alive | child is alive,historia_reprodutiva
b5_01,38,323,Child is alive | b5$02 | child is alive,historia_reprodutiva | outros
b5_02,38,323,Child is alive | child is alive,historia_reprodutiva | outros
b5_03,38,323,Child is alive | b5$04 | child is alive,historia_reprodutiva | outros
b5_04,38,323,Child is alive | child is alive,historia_reprodutiva | outros
b5_05,38,323,Child is alive | b5$06 | child is alive,historia_reprodutiva | outros
b5_06,38,323,Child is alive | child is alive,historia_reprodutiva | outros
b5_07,38,323,Child is alive | b5$08 | child is alive,historia_reprodutiva | outros
b5_08,38,323,Child is alive | child is alive,historia_reprodutiva | outros
b5_09,38,323,Child is alive | b5$10 | child is alive,historia_reprodutiva | outros
b5_10,38,323,Child is alive | child is alive,historia_reprodutiva | outros
b5_11,38,323,Child is alive | b5$12 | child is alive,historia_reprodutiva | outros
b5_12,38,323,Child is alive | child is alive,historia_reprodutiva | outros
b5_13,38,323,Child is alive | b5$14 | child is alive,historia_reprodutiva | outros
b5_14,38,323,Child is alive | child is alive,historia_reprodutiva | outros
b5_15,38,323,Child is alive | b5$16 | child is alive,historia_reprodutiva | outros
b5_16,38,321,Child is alive | child is alive,historia_reprodutiva | outros
b5_17,38,321,Child is alive | b5$18 | child is alive,historia_reprodutiva | outros
b5_18,38,321,Child is alive | child is alive,historia_reprodutiva | outros
b5_19,38,321,"Child is alive | b5$20    ""child is alive"" | b5$20    'child is alive' | child is alive",historia_reprodutiva
b5_20,38,321,Child is alive | child is alive,historia_reprodutiva | outros
b6,38,362,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia
b6_01,38,318,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$02 | na - age at death,demografia | outros
b6_02,38,318,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_03,38,318,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$04 | na - age at death,demografia | outros
b6_04,38,318,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_05,38,318,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$06 | na - age at death,demografia | outros
b6_06,38,318,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_07,38,318,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$08 | na - age at death,demografia | outros
b6_08,38,318,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_09,38,318,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$10 | na - age at death,demografia | outros
b6_10,38,318,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_11,38,318,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$12 | na - age at death,demografia | outros
b6_12,38,318,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_13,38,318,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$14 | na - age at death,demografia | outros
b6_14,38,318,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_15,38,318,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$16 | na - age at death,demografia | outros
b6_16,38,316,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_17,38,316,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$18 | na - age at death,demografia | outros
b6_18,38,316,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_19,38,316,"Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$20    ""age at death"" | b6$20    'age at death' | na - age at death",demografia
b6_20,38,316,Age at death | NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b7,38,362,"Age at death (months, imputed) | Age at death (months-imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | age at death months(imputed) | na - age at death (months, imputed)",demografia
b7_01,38,318,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$02 | na - age at death (months, imputed)",demografia | outros
b7_02,38,318,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_03,38,318,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$04 | na - age at death (months, imputed)",demografia | outros
b7_04,38,318,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_05,38,318,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$06 | na - age at death (months, imputed)",demografia | outros
b7_06,38,318,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_07,38,318,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$08 | na - age at death (months, imputed)",demografia | outros
b7_08,38,318,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_09,38,318,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$10 | na - age at death (months, imputed)",demografia | outros
b7_10,38,318,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_11,38,318,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$12 | na - age at death (months, imputed)",demografia | outros
b7_12,38,318,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_13,38,318,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$14 | na - age at death (months, imputed)",demografia | outros
b7_14,38,318,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_15,38,318,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$16 | na - age at death (months, imputed)",demografia | outros
b7_16,38,316,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_17,38,316,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$18 | na - age at death (months, imputed)",demografia | outros
b7_18,38,316,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b7_19,38,316,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | b7$20    ""age at death (months-imputed)"" | b7$20    'age at death (months-imputed)' | b7$20    'age at death months(imputed)' | na - age at death (months, imputed)",demografia
b7_20,38,316,"Age at death (months, imputed) | NA - Age at death (months, imputed) | age at death (months - imput) | age at death (months, imputed) | age at death (months-impute-na | age at death (months-imputed) | age at death in months imputed | na - age at death (months, imputed)",demografia | outros
b8,38,367,Current age of child | current age of child,historia_reprodutiva
b8_01,38,323,Current age of child | b8$02 | current age of child,historia_reprodutiva | outros
b8_02,38,323,Current age of child | current age of child,historia_reprodutiva | outros
b8_03,38,323,Current age of child | b8$04 | current age of child,historia_reprodutiva | outros
b8_04,38,323,Current age of child | current age of child,historia_reprodutiva | outros
b8_05,38,323,Current age of child | b8$06 | current age of child,historia_reprodutiva | outros
b8_06,38,323,Current age of child | current age of child,historia_reprodutiva | outros
